gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
gene6568,2180.238601,-3.504289773,0.568544237,1.04E-10,2.27E-09
gene3258,1461.805166,-3.523978581,0.816886596,6.24E-07,5.39E-06
gene12731,111.6281728,-3.527307825,1.365549995,3.68E-05,0.000187535
gene4238,24.3405748,-3.549470849,2.397908092,0.000195009,0.000798613
gene11240,102.5958342,-3.567871219,1.145279429,1.29E-05,7.52E-05
gene12129,21531.07741,-3.600159298,0.775737084,1.99E-07,1.96E-06
gene4235,52299.29599,-3.61877417,0.675047023,8.47E-09,1.22E-07
gene8301,1608.916021,-3.637103566,0.756985824,1.04E-07,1.11E-06
gene1484,11845.69348,-3.648202385,0.552344055,5.32E-12,1.52E-10
gene6900,10240.64521,-3.651133031,1.140489272,1.06E-05,6.40E-05
gene7676,23591.79377,-3.665623024,0.609592914,2.22E-10,4.47E-09
gene3332,4885.214032,-3.67120477,0.755927541,8.29E-08,9.13E-07
gene3776,39158.66595,-3.718868526,0.732058655,3.05E-08,3.79E-07
gene10873,1839.257792,-3.719180023,0.806664642,2.14E-07,2.08E-06
gene143,78384.01041,-3.864948908,0.7625345,2.89E-08,3.62E-07
gene1479,2247.75243,-3.876437756,0.675484802,8.87E-10,1.58E-08
gene11238,758.5015022,-3.91701055,0.666151026,3.75E-10,7.21E-09
gene8890,89.73372269,-3.961714153,0.735607404,5.58E-09,8.34E-08
gene8076,13787.45204,-4.07425541,0.913133948,3.05E-07,2.86E-06
gene8889,9800.996737,-4.235678655,0.741957615,7.06E-10,1.28E-08
gene11061,322.084089,-4.348853993,0.829479797,7.85E-09,1.14E-07
gene9556,43.87993265,-4.488732778,0.66627795,7.78E-13,2.71E-11
gene7431,19833.38272,-4.547117068,0.716442568,9.80E-12,2.68E-10
gene4318,5253.382969,-4.615105528,0.689260153,8.85E-13,3.02E-11
gene2021,15717.06567,-4.620366096,0.819558079,6.81E-10,1.24E-08
gene1482,1187.780734,-4.719969348,0.743619075,7.96E-12,2.22E-10
gene8298,1115.126683,-4.741963819,0.781747333,4.62E-11,1.08E-09
gene13179,131.7273232,-4.774383218,0.822635678,2.18E-10,4.39E-09
gene10593,7833.06999,-4.788599101,0.765710838,1.34E-11,3.54E-10
gene3152,2029.12491,-4.819048876,0.761134413,7.87E-12,2.20E-10
gene139,19025.29176,-5.133144171,0.863378065,6.34E-11,1.43E-09
gene6294,2530.133504,-5.334738724,0.809056549,8.11E-13,2.80E-11
gene10393,26738.34907,-5.398285781,0.802784359,3.14E-13,1.18E-11
gene6011,29.79305306,-5.552332664,1.4481494,8.55E-07,7.06E-06
gene11484,14.43468225,-5.900557665,1.6353474,1.26E-06,9.85E-06
gene8526,1524.537991,-6.057192069,1.033334805,4.79E-11,1.11E-09
gene5870,307.7636227,-6.384758834,1.81494042,1.16E-06,9.20E-06
gene11087,1980.21191,-7.203229681,1.104115815,3.92E-13,1.43E-11
gene7672,3863.564978,-7.246754154,0.901095274,5.54E-18,5.25E-16
gene11261,474.5302968,-10.3101846,1.692537784,8.43E-13,2.90E-11
