gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
gene12787,4863.719624,1.080845857,0.171279476,1.17E-12,3.87E-11
gene2688,328.3701403,1.076282034,0.687081882,0.000898954,0.003035576
gene4208,12.6138342,1.069721272,1.258126325,0.005354633,0.014181162
gene677,15344.23368,1.069662354,0.229211383,1.32E-08,1.80E-07
gene12258,40.28475969,1.066468692,0.787587385,0.001638811,0.005107913
gene12312,1130.743643,1.061764529,0.523057446,0.000255427,0.001011601
gene11229,101.2398407,1.061487777,0.460185008,0.000113416,0.000497878
gene4491,6187.86819,1.061091014,0.698809708,0.001068148,0.003518589
gene9815,29.13527717,1.0609935,0.972573274,0.003253124,0.009191471
gene4294,221.1925927,1.060341736,0.369915644,1.96E-05,0.000108731
gene7680,537.7092019,1.057965299,0.282032896,8.16E-07,6.79E-06
gene2744,566.5382103,1.056013991,0.51664495,0.000251485,0.000999391
gene3938,3.059303639,1.054096515,0.986481132,0.003476393,0.009734367
gene1987,11426.0019,1.054005161,0.310631117,3.31E-06,2.31E-05
gene8701,1666.936943,1.04834124,0.118906483,9.08E-21,1.42E-18
gene9028,3927.334038,1.041940557,0.22744589,2.72E-08,3.43E-07
gene9670,156.9416719,1.040566099,0.253692208,2.33E-07,2.25E-06
gene12681,839.8887866,1.039138971,0.174595918,1.88E-11,4.85E-10
gene13533,934.466665,1.038655051,0.179782273,5.31E-11,1.22E-09
gene11904,105.7213434,1.032957007,0.473503248,0.000189572,0.000780431
gene5948,33.31845125,1.032896533,0.452074558,0.000141059,0.000603552
gene8967,42.24800088,1.031767205,0.376711369,3.63E-05,0.000185628
gene10253,109.0180273,1.030721101,0.277161614,1.21E-06,9.50E-06
gene9582,141.7188208,1.030547046,0.811253969,0.002210244,0.006610654
gene1538,192.0720005,1.025374073,0.255780512,4.03E-07,3.66E-06
gene6869,508.3485144,1.022478711,0.265559329,7.88E-07,6.57E-06
gene8744,35110.60324,1.020563189,0.232127918,8.06E-08,8.91E-07
gene13558,333.3793042,1.018905871,0.215953084,1.86E-08,2.45E-07
gene2078,3831.043009,1.014570094,0.251724334,4.14E-07,3.74E-06
gene11597,4503.398536,1.013746952,0.361684496,3.40E-05,0.000174822
gene459,7100.644453,1.012716481,0.192652705,1.33E-09,2.29E-08
gene8088,80.9994826,1.010107147,0.261116682,8.34E-07,6.91E-06
gene5082,23.13897845,1.009786987,0.507661852,0.000362051,0.00136805
gene7917,18.32268362,1.007311379,0.642260047,0.001100551,0.003608871
gene1028,337.0964128,1.007196602,0.252597491,5.34E-07,4.69E-06
gene3055,11480.51629,1.005953391,0.191315423,1.43E-09,2.44E-08
gene8928,1573.693725,1.000369962,0.196289075,3.55E-09,5.55E-08
gene10112,15025.49376,-1.002290027,0.130325677,1.91E-16,1.24E-14
gene2946,8225.83912,-1.002686533,0.106270463,5.53E-23,1.33E-20
gene2545,5954.069755,-1.00459033,0.128626085,7.29E-17,5.24E-15
gene12725,14.01174246,-1.007065055,1.380193361,0.006981115,0.017872055
gene1725,374.7911393,-1.010082595,0.524304944,0.000427437,0.00158028
gene11174,25534.39123,-1.010787739,0.235955305,1.48E-07,1.53E-06
gene2629,3897.078112,-1.011403224,0.206984121,8.97E-09,1.28E-07
gene2845,3949.28203,-1.014348543,0.143287866,1.56E-14,7.39E-13
gene13235,852.3802643,-1.01989142,0.419079115,9.89E-05,0.000441879
gene12288,4147.713763,-1.020154264,0.113989547,4.00E-21,7.04E-19
gene13062,1773.788109,-1.021218801,0.287131323,2.46E-06,1.79E-05
gene6696,133202.0511,-1.023352388,0.090597069,1.61E-31,3.27E-28
gene8748,1732.245177,-1.027326503,0.500613659,0.000280316,0.001096634
gene11533,15055.16635,-1.039162853,0.583419937,0.000560938,0.002006833
gene12866,4413.148471,-1.046860431,0.260355556,3.06E-07,2.86E-06
gene2344,15680.41363,-1.047585383,0.138671723,3.04E-16,1.91E-14
gene252,26803.23335,-1.047727903,0.161390731,5.65E-13,2.00E-11
gene1450,15695.90497,-1.052515012,0.428899833,7.64E-05,0.000350856
gene1494,43990.22666,-1.054904003,0.34654589,1.13E-05,6.74E-05
gene541,225.9097645,-1.054976136,0.247971847,1.03E-07,1.11E-06
gene6270,2689.348556,-1.056569058,0.147615376,5.12E-15,2.64E-13
gene8119,9416.824983,-1.057339069,0.320666186,4.55E-06,3.05E-05
gene2522,34402.69247,-1.058281647,0.099110945,9.31E-29,6.47E-26
gene8777,34818.84918,-1.062788135,0.198165315,4.05E-10,7.72E-09
gene12218,19234.81117,-1.062907324,0.107644088,3.53E-25,1.20E-22
gene55,5.512664437,-1.075160144,1.288802033,0.005439742,0.014363995
gene4473,1741.847117,-1.075266895,0.13090698,1.10E-18,1.17E-16
gene12997,37.4233715,-1.078186935,0.665902943,0.000772509,0.002659564
gene1112,139.4950731,-1.078891292,0.435943101,6.16E-05,0.000291207
gene6597,9463.89401,-1.080282895,1.048961477,0.003639596,0.010125636
gene6730,75.1866161,-1.083247313,0.328780055,3.70E-06,2.56E-05
gene3262,48997.9683,-1.085654276,0.102642068,1.83E-28,1.15E-25
gene4759,115635.836,-1.087421105,0.191506429,5.03E-11,1.16E-09
gene1912,2037.359511,-1.094503568,0.484785207,0.000111993,0.000493189
gene12454,325.6999537,-1.094988082,0.561425391,0.000282759,0.001105155
gene1081,14206.88333,-1.097589671,0.166161451,1.35E-13,5.41E-12
gene3490,15829.56626,-1.098131578,0.120947215,4.14E-22,9.25E-20
gene3117,710.0308438,-1.10697465,0.374031489,1.04E-05,6.26E-05
gene9789,3959.30459,-1.107848284,0.097549281,2.39E-32,9.97E-29
gene104,152.6708692,-1.108513868,0.420067952,3.07E-05,0.00016076
gene12427,1702.41242,-1.11800143,0.286570436,2.48E-07,2.37E-06
gene13477,19680.81288,-1.118227808,0.099857759,1.22E-31,3.27E-28
gene8373,12938.71157,-1.122125874,0.145144055,2.67E-17,2.14E-15
gene7771,1184.952618,-1.129675632,0.651780044,0.000483107,0.001759577
gene4236,129282.7813,-1.130997953,0.690849064,0.000639158,0.002251269
gene4003,3512.36186,-1.134437216,0.48653235,7.43E-05,0.000343209
gene3228,146.1491232,-1.13749032,0.996591163,0.002520848,0.007380841
gene7677,47488.75685,-1.142270946,0.403092428,1.30E-05,7.55E-05
gene9149,38543.78092,-1.144146212,0.110964156,1.18E-27,6.71E-25
gene5126,7015.133875,-1.146693409,0.105323329,2.40E-30,2.73E-27
gene8371,4122.554668,-1.149269875,0.113798168,9.56E-27,4.27E-24
gene7359,36576.04277,-1.153578816,0.749554168,0.000810421,0.002774057
gene7547,118.6654498,-1.157643941,0.47765646,4.97E-05,0.000243145
gene7110,9097.909308,-1.171093583,0.735566659,0.000668509,0.002336234
gene11678,228.8749092,-1.171500033,0.43603503,1.88E-05,0.000105037
gene5513,3557.837736,-1.17283669,0.214217552,5.49E-11,1.25E-09
gene6299,81.97035551,-1.179699173,0.84527866,0.001172752,0.003818923
gene12331,52.07325518,-1.189769276,0.439648945,1.62E-05,9.18E-05
gene8202,13882.29577,-1.199713014,1.139588585,0.002878638,0.008280747
gene1498,883.5906478,-1.20772004,0.464343339,2.19E-05,0.000119727
gene8258,111197.4239,-1.212837057,0.859982227,0.001066774,0.003514989
gene3338,1225.004533,-1.22192932,0.55189211,8.11E-05,0.000370218
gene1285,68445.02123,-1.236927511,0.107344992,3.71E-34,2.32E-30
gene8525,2253.182033,-1.237104705,0.861745,0.000955707,0.003197873
gene12763,36643.1472,-1.237863782,0.141734722,1.00E-21,2.02E-19
gene8330,279306.7796,-1.238622145,0.838118649,0.000840175,0.002861033
gene4910,45.11242141,-1.256272679,0.494764448,2.33E-05,0.000125794
gene4302,124.6149823,-1.258546352,0.255767363,5.05E-10,9.45E-09
gene6799,137.5041104,-1.262268697,1.203045927,0.002677615,0.007774249
gene8489,33.91438189,-1.263143494,0.890245633,0.00097013,0.003242664
gene8309,1077.002076,-1.274652224,0.409378472,2.37E-06,1.73E-05
gene13497,650.8876726,-1.276307396,0.699137435,0.000265388,0.001046083
gene12773,141.7200376,-1.278535178,0.257382229,3.34E-10,6.49E-09
gene1495,874.4057199,-1.285351235,0.523699657,2.94E-05,0.000154339
gene4338,1998.274768,-1.287266775,0.285707268,3.69E-09,5.76E-08
gene6954,1279.872659,-1.288617,0.235459911,1.70E-11,4.41E-10
gene1496,4575.365263,-1.290564191,0.455977992,6.98E-06,4.44E-05
gene2199,10447.35608,-1.315839822,0.322893958,2.73E-08,3.44E-07
gene6675,2131.992689,-1.317156551,0.222915102,9.13E-13,3.10E-11
gene6990,903.3164888,-1.328211315,0.823501661,0.000493009,0.001792511
gene1454,21748.75985,-1.333249517,0.485921741,8.80E-06,5.44E-05
gene7058,556.0013187,-1.33709831,0.211265468,4.92E-14,2.14E-12
gene13032,2119.480298,-1.339010285,0.130643831,1.04E-28,6.84E-26
gene7675,92095.65922,-1.340152695,0.909109716,0.000751605,0.002597193
gene7720,5907.058893,-1.343336657,0.620323727,7.50E-05,0.000345544
gene9933,12515.50445,-1.366948474,0.420262544,1.01E-06,8.13E-06
gene3334,16878.63661,-1.368928424,0.697115297,0.00014729,0.000626569
gene5989,68525.16507,-1.371352216,0.837768677,0.000436941,0.001611606
gene13332,143.0717455,-1.371903282,0.740185237,0.000213835,0.000866632
gene9201,3264.823988,-1.392681379,0.148250348,3.65E-25,1.20E-22
gene355,4467.466255,-1.400816561,0.46187454,2.42E-06,1.76E-05
gene312,81.54074843,-1.404082245,0.744278797,0.000185645,0.000766536
gene1489,309.2068219,-1.404531874,0.650403766,7.14E-05,0.000331364
gene11239,564.0664857,-1.408061145,1.711786144,0.003188505,0.009029286
gene1509,856.0832183,-1.412292856,0.476551584,3.19E-06,2.24E-05
gene2790,216.4165097,-1.430483885,1.020203399,0.000864572,0.002933404
gene12429,22201.75836,-1.447506788,0.664131064,6.44E-05,0.00030295
gene9557,93.83416928,-1.454368475,1.193285417,0.001428615,0.004530648
