gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
gene10047,11623.5451,-1.270900376,0.560765077,4.97E-05,0.000422101
gene8180,19069.6689,-1.271709943,0.173369703,1.56E-16,9.12E-14
gene7146,10863.72068,-1.275569007,0.704230637,0.000213379,0.001350479
gene12918,13.24362541,-1.283345064,1.266479049,0.001361207,0.005889923
gene9612,3590.311781,-1.285121208,0.580162757,5.91E-05,0.000484205
gene6520,2058.806914,-1.286741619,0.471106282,9.84E-06,0.000112129
gene89,2307.112994,-1.292392177,1.002662901,0.000855215,0.004095116
gene3228,146.1491232,-1.297653936,1.06745203,0.000987957,0.004590631
gene9933,12515.50445,-1.299808886,0.425362345,2.99E-06,4.30E-05
gene4942,8488.481369,-1.300531611,0.39980841,1.40E-06,2.29E-05
gene8298,1115.126683,-1.31742579,1.004417629,0.000790363,0.003847374
gene4104,4.455767498,-1.326719448,1.330427826,0.001272125,0.00558724
gene4235,52299.29599,-1.340192491,0.896007843,0.000497888,0.002655475
gene3332,4885.214032,-1.345732053,0.980894968,0.000669318,0.003373266
gene1075,2254.138836,-1.354326141,1.006475412,0.000703921,0.003517779
gene10627,232.9404476,-1.354758135,0.984000464,0.000655868,0.003324602
gene9544,71.23576678,-1.355328127,1.198969574,0.00105013,0.004822892
gene4422,92541.87153,-1.355649447,0.783797197,0.000262076,0.001593896
gene9611,28.14274812,-1.357812736,0.687220607,0.000126994,0.000898404
