gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
gene1484,11845.69348,-2.390856176,0.580208144,7.17E-07,1.34E-05
gene11233,130.3976328,-2.406279094,0.777855379,9.93E-06,0.000112801
gene1479,2247.75243,-2.409761947,0.781230885,1.01E-05,0.000114567
gene11240,102.5958342,-2.422264776,1.300093587,0.000102717,0.000757351
gene8612,525.7428091,-2.443593308,0.780871223,9.14E-06,0.000105059
gene12734,2539.925588,-2.490786792,0.753978042,6.15E-06,7.66E-05
gene12215,11159.98621,-2.507724772,0.593236311,5.29E-07,1.04E-05
gene7190,44426.01852,-2.51452143,0.794085586,8.31E-06,9.75E-05
gene7673,13530.91428,-2.538787051,0.848679752,1.20E-05,0.000130695
gene8259,56550.03172,-2.53909273,0.790681615,7.49E-06,8.94E-05
gene12727,435.5253228,-2.53973308,0.739716442,4.52E-06,5.98E-05
gene13497,650.8876726,-2.539945551,0.546196088,1.24E-07,3.15E-06
gene139,19025.29176,-2.568656226,1.059257718,3.54E-05,0.000317772
gene12728,115.1605985,-2.573410754,1.051665315,3.39E-05,0.000307584
gene7189,17393.19074,-2.594273628,0.785752437,6.03E-06,7.53E-05
gene13179,131.7273232,-2.623498397,0.961475265,1.95E-05,0.000195613
gene12379,68.73639061,-2.641511103,1.311590148,6.68E-05,0.000534755
gene3776,39158.66595,-2.718131721,0.802207651,4.73E-06,6.21E-05
gene11742,109.5708547,-2.7759752,0.552370613,2.32E-08,7.71E-07
gene6654,6499.750063,-2.78098993,0.838002689,5.36E-06,6.86E-05
gene1214,501.2897231,-2.781697881,0.680390272,7.47E-07,1.37E-05
gene3258,1461.805166,-2.8817558,0.865340636,4.92E-06,6.39E-05
gene10393,26738.34907,-2.888478525,0.875696378,5.25E-06,6.76E-05
gene12730,113.9078831,-2.939637439,0.911062017,5.92E-06,7.43E-05
gene6294,2530.133504,-2.96768452,0.870131833,3.87E-06,5.29E-05
gene3259,15052.89609,-3.002373473,0.590725599,1.35E-08,5.03E-07
gene12382,112.9675637,-3.016194852,0.930808551,5.44E-06,6.92E-05
